171.111.153.168 - - [18/Jul/2014:10:07:39 +0100] "GET / HTTP/1.1" 200 11217
74.207.246.143 - - [18/Jul/2014:10:38:58 +0100] "GET / HTTP/1.0" 200 11197
14.136.116.150 - - [18/Jul/2014:13:01:47 +0100] "GET / HTTP/1.1" 200 11217
14.136.116.150 - - [18/Jul/2014:13:01:48 +0100] "GET /ncsi.txt HTTP/1.1" 404 967
14.136.116.150 - - [18/Jul/2014:13:01:52 +0100] "GET /HNAP1/ HTTP/1.1" 404 963
14.136.116.150 - - [18/Jul/2014:15:32:55 +0100] "GET / HTTP/1.1" 200 11217
14.136.116.150 - - [18/Jul/2014:15:32:56 +0100] "GET /CFIDE/administrator/index.cfm HTTP/1.0" 404 1009
14.136.116.150 - - [18/Jul/2014:15:32:56 +0100] "POST /_vti_bin/_vti_aut/author.dll HTTP/1.1" 404 1007
14.136.116.150 - - [18/Jul/2014:15:33:03 +0100] "GET /jmx-console/ HTTP/1.1" 404 975
14.136.116.150 - - [18/Jul/2014:15:33:03 +0100] "GET /administrator/ HTTP/1.1" 404 979
14.136.116.150 - - [18/Jul/2014:15:33:04 +0100] "GET /phpbb/index.php HTTP/1.1" 404 981
14.136.116.150 - - [18/Jul/2014:15:33:04 +0100] "GET /phpbb/docs/CHANGELOG.html HTTP/1.1" 404 1001
14.136.116.150 - - [18/Jul/2014:15:33:05 +0100] "GET /phpBB/index.php HTTP/1.1" 404 981
14.136.116.150 - - [18/Jul/2014:15:33:05 +0100] "GET /phpBB/docs/CHANGELOG.html HTTP/1.1" 404 1001
14.136.116.150 - - [18/Jul/2014:15:33:06 +0100] "GET /phpBB2/index.php HTTP/1.1" 404 983
14.136.116.150 - - [18/Jul/2014:15:33:06 +0100] "GET /phpBB2/docs/CHANGELOG.html HTTP/1.1" 404 1003
14.136.116.150 - - [18/Jul/2014:15:33:07 +0100] "GET /phpBB3/index.php HTTP/1.1" 404 983
14.136.116.150 - - [18/Jul/2014:15:33:07 +0100] "GET /phpBB3/docs/CHANGELOG.html HTTP/1.1" 404 1003
14.136.116.150 - - [18/Jul/2014:15:33:08 +0100] "GET /forum/index.php HTTP/1.1" 404 981
14.136.116.150 - - [18/Jul/2014:15:33:08 +0100] "GET /forum/docs/CHANGELOG.html HTTP/1.1" 404 1001
14.136.116.150 - - [18/Jul/2014:15:33:08 +0100] "GET /index.php?m=search HTTP/1.1" 404 969
14.136.116.150 - - [18/Jul/2014:15:33:10 +0100] "GET /phpMyAdmin/main.php HTTP/1.1" 404 989
14.136.116.150 - - [18/Jul/2014:15:33:10 +0100] "GET /phpmyadmin/main.php HTTP/1.1" 404 989
14.136.116.150 - - [18/Jul/2014:15:33:11 +0100] "GET /admin.php HTTP/1.1" 404 969
14.136.116.150 - - [18/Jul/2014:15:33:11 +0100] "GET /abcdTest/ HTTP/1.1" 404 969
14.136.116.150 - - [18/Jul/2014:15:33:12 +0100] "GET /console/login/LoginForm.jsp HTTP/1.0" 404 1005
14.136.116.150 - - [18/Jul/2014:15:33:12 +0100] "GET /readme.html HTTP/1.1" 404 973
14.136.116.150 - - [18/Jul/2014:15:33:13 +0100] "GET /blog/readme.html HTTP/1.1" 404 983
14.136.116.150 - - [18/Jul/2014:15:33:13 +0100] "GET /xoops/modules/wordpress/readme.html HTTP/1.1" 404 1021
14.136.116.150 - - [18/Jul/2014:15:33:14 +0100] "GET /CFIDE/scripts/ajax/FCKeditor/editor/filemanager/connectors/cfm/upload.cfm?Command=FileUpload&Type=File&CurrentFolder=/-1234567.cfm%00 HTTP/1.0" 404 1097
74.77.131.43 - - [18/Jul/2014:15:48:51 +0100] "GET /HNAP1/ HTTP/1.1" 404 963
212.174.113.2 - - [18/Jul/2014:19:03:38 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:38 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:39 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:39 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:39 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:39 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:39 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:39 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:39 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:40 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:40 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:40 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:40 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:40 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:40 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:41 +0100] "GET /manager/html HTTP/1.1" 401 2486
212.174.113.2 - - [18/Jul/2014:19:03:41 +0100] "GET /manager/html HTTP/1.1" 401 2486
