87.106.83.18 - - [21/Jul/2014:19:03:36 +0100] "GET /solr/collection1/select?wt=ruby&fl=%2A&q=%7B%21raw+f%3Did+v%3D%24id%7D&id=http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F&qt=document HTTP/1.1" 200 7775
87.106.83.18 - - [21/Jul/2014:19:03:36 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=2&q=pain&spellcheck.q=pain&facet=false&start=0&fl=%2A HTTP/1.1" 200 17542
91.188.124.225 - - [21/Jul/2014:19:21:42 +0100] "GET /httptest.php HTTP/1.1" 404 975
91.188.124.225 - - [21/Jul/2014:19:21:43 +0100] "GET /search?q=wp.pl HTTP/1.1" 404 963
87.106.83.18 - - [21/Jul/2014:19:36:41 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&q=pain&spellcheck.q=pain&facet=true&start=0 HTTP/1.1" 200 52215
87.106.83.18 - - [21/Jul/2014:19:37:52 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&q=pain&spellcheck.q=pain&facet=true&start=0 HTTP/1.1" 200 52215
87.106.83.18 - - [21/Jul/2014:19:37:56 +0100] "GET /solr/collection1/select?wt=ruby&fl=%2A&q=%7B%21raw+f%3Did+v%3D%24id%7D&id=http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F&qt=document HTTP/1.1" 200 7775
87.106.83.18 - - [21/Jul/2014:19:37:56 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=2&q=pain&spellcheck.q=pain&facet=false&start=0&fl=%2A HTTP/1.1" 200 17542
87.106.83.18 - - [21/Jul/2014:19:38:47 +0100] "GET /solr/collection1/select?wt=ruby&fl=%2A&q=%7B%21raw+f%3Did+v%3D%24id%7D&id=http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F&qt=document HTTP/1.1" 200 7775
87.106.83.18 - - [21/Jul/2014:19:38:47 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=2&q=pain&spellcheck.q=pain&facet=false&start=0&fl=%2A HTTP/1.1" 200 17542
87.106.83.18 - - [21/Jul/2014:19:38:52 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&q=pain&spellcheck.q=pain&facet=true&start=0 HTTP/1.1" 200 52215
87.106.83.18 - - [21/Jul/2014:19:38:54 +0100] "GET /solr/collection1/select?wt=ruby&fl=%2A&q=%7B%21raw+f%3Did+v%3D%24id%7D&id=http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F&qt=document HTTP/1.1" 200 7775
87.106.83.18 - - [21/Jul/2014:19:38:54 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=2&q=pain&spellcheck.q=pain&facet=false&start=0&fl=%2A HTTP/1.1" 200 17542
87.106.83.18 - - [21/Jul/2014:19:42:36 +0100] "GET /solr/collection1/select?wt=ruby&fl=%2A&q=%7B%21raw+f%3Did+v%3D%24id%7D&id=http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F&qt=document HTTP/1.1" 200 7775
87.106.83.18 - - [21/Jul/2014:19:42:36 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=2&q=pain&spellcheck.q=pain&facet=false&start=0&fl=%2A HTTP/1.1" 200 17542
